chamber,date,time,CO2,N2O,CH4,water level,tide,,,,
T,2024/4/9,09:59,,,,0.63438,T,,,,
T,2024/4/9,10:09,-131.63365,-252.60404,-1826.87877,0.73677,T,,,,
T,2024/4/9,10:19,105.48146,5.66740,-934.47870,0.82836,T,,,,
T,2024/4/9,10:28,106.34668,62.34746,-404.99417,0.91194,T,,,,
T,2024/4/9,10:37,172.09759,97.16488,-721.65629,0.98441,T,,,,
T,2024/4/9,10:47,136.62492,198.29110,-261.13141,1.04301,T,,,,
T,2024/4/9,10:56,29.77228,107.65425,106.62865,1.07046,T,,,,
T,2024/4/9,11:22,175.91826,-367.51555,-746.18059,1.15033,T,,,,
T,2024/4/9,11:31,0.95137,-114.84935,924.36434,1.15033,T,,,,
T,2024/4/9,11:41,116.96080,-59.01634,-229.63756,1.13615,T,,,,
T,2024/4/9,11:50,182.67809,103.43527,-1415.89229,1.12042,T,,,,
T,2024/4/9,11:59,57.48431,433.71042,-669.95410,1.09852,T,,,,
T,2024/4/9,12:04,55.35328,-198.09755,376.54427,1.08125,T,,,,
T,2024/4/9,13:19,-437.08315,-352.36072,-1075.43447,0.65689,T,,,,
T,2024/4/9,13:28,,,,0.59213,T,,,,
T,2024/4/9,13:37,231.83172,102.63718,224.15281,0.55728,T,,,,
T,2024/4/9,13:47,38.78056,24.24264,-450.75681,0.48696,T,,,,
T,2024/4/9,13:56,115.57620,123.61329,-166.29843,0.42220,T,,,,
T,2024/4/9,14:05,579.15213,-533.15577,950.43463,0.36052,T,,,,
T,2024/4/9,14:15,275.44121,-96.12960,299.70906,0.30285,T,,,,
T,2024/4/9,14:24,57.76673,-95.30317,345.78256,0.24857,T,,,,
T,2024/4/9,14:34,81.47980,45.21317,-279.60600,0.19398,T,,,,
T,2024/4/9,14:43,147.03024,84.77470,663.49298,0.14556,T,,,,
T,2024/4/9,14:53,17.51802,157.36961,-410.71161,0.10794,T,,,,
T,2024/4/9,15:02,62.76452,144.45723,568.51789,0.09869,T,,,,
T,2024/4/9,15:12,-10.70779,304.24791,209.71624,0.09129,F,,,,
T,2024/4/9,15:21,-154.43137,75.06786,156.59103,0.09345,F,,,,
T,2024/4/9,15:30,-97.32689,374.56872,-656.33422,0.09129,F,,,,
T,2024/4/9,15:36,175.32663,-38.06027,-992.96569,0.09129,F,,,,
T,2024/4/9,15:52,,,,0.09252,F,,,,
T,2024/4/9,15:55,284.29671,81.56909,-2552.51612,0.09098,F,,,,
T,2024/4/9,16:02,553.26406,39.57312,-2384.20465,0.09221,F,,,,
T,2024/4/9,16:14,22.09864,-233.37787,449.20229,0.09283,F,,,,
T,2024/4/9,17:10,-66.16950,-94.47247,-298.33093,0.09067,F,,,,
T,2024/4/9,17:19,-31.98746,-47.23623,-484.26839,0.09190,F,,,,
T,2024/4/9,17:28,44.07844,-36.33202,409.23017,0.09190,F,,,,
T,2024/4/9,17:38,-9.94901,154.15657,-161.14426,0.09314,F,,,,
T,2024/4/15,09:33,,,,0.10976,F,,,,
T,2024/4/15,09:43,-126.67394,-322.10376,-5932.10668,0.11006,F,,,,
T,2024/4/15,09:52,264.17594,709.79869,1734.54361,0.11189,F,,,,
T,2024/4/15,11:17,494.86736,-1233.66136,-6568.31665,0.10427,F,,,,
T,2024/4/15,11:27,,,,0.10457,F,,,,
T,2024/4/15,11:36,-20.96996,630.98953,4150.59913,0.09787,F,,,,
T,2024/4/15,11:54,712.71861,-789.62907,-914.34236,0.09939,F,,,,
T,2024/4/15,12:04,180.86284,-163.74022,2086.37436,0.06677,F,,,,
T,2024/4/15,12:13,1888.94057,360.41914,2303.30910,0.06311,F,,,,
T,2024/4/15,12:30,-113.54257,-536.54216,-1322.55243,0.06890,F,,,,
T,2024/4/15,12:39,-354.92599,-255.51910,-3030.03344,0.06951,F,,,,
T,2024/4/15,13:25,,,,0.06006,F,,,,
T,2024/4/15,13:35,193.13858,362.24803,340.79097,0.06341,F,,,,
T,2024/4/15,14:40,,,,0.33018,T,,,,
T,2024/4/15,14:49,307.48217,-39.83578,2033.71389,0.42683,T,,,,
T,2024/4/15,14:59,131.68820,-427.53347,-2405.96561,0.52896,T,,,,
T,2024/4/15,15:11,-218.76650,488.14743,476.25063,0.63933,T,,,,
T,2024/4/15,15:20,156.78628,-291.10999,2237.72505,0.74482,T,,,,
T,2024/4/15,15:30,47.20810,-757.11706,-2305.72848,0.83506,T,,,,
T,2024/4/15,15:50,142.78926,378.97480,1340.42668,0.98018,T,,,,
T,2024/4/15,15:59,-457.21053,396.07909,2075.83340,1.03933,T,,,,
S,2024/4/29,12:14,129.9974391,14.86397453,-1406.778147,0.110365854,T,,,,
S,2024/4/29,12:24,5.596428332,9.486419194,1083.844148,0.155182927,T,,,,
S,2024/4/29,12:34,28.26960483,55.13514628,-2507.695614,0.241768293,T,,,,
S,2024/4/29,12:44,177.1251264,235.5372995,-1274.323526,0.331707317,T,,,,
S,2024/4/29,12:53,119.2788095,-19.54622026,-2130.581953,0.430182927,T,,,,
S,2024/4/29,13:02,94.57834796,209.8300346,-198.9363193,0.548170732,T,,,,
S,2024/4/29,13:11,72.29480219,127.5143796,-262.7860596,0.608536585,T,,,,
S,2024/4/29,13:21,-30.3505708,-15.95311192,-977.9231689,0.731402439,T,,,,
S,2024/4/29,13:30,-24.44961893,22.04482132,-1067.603424,0.842682927,T,,,,
S,2024/4/29,13:39,24.71350664,78.4531055,-162.904917,0.943292683,T,,,,
S,2024/4/29,13:53,-47.03018456,23.43987682,-267.5997187,1.028353659,T,,,,
S,2024/4/29,14:02,-98.02097238,-93.11949096,-189.463188,1.132317073,T,,,,
S,2024/4/29,14:07,19.68784964,94.43395629,-345.8539781,1.16402439,T,,,,
S,2024/4/29,14:16,-131.847435,-195.906384,-660.8257937,1.186585366,T,,,,
S,2024/4/29,14:25,-23.70892651,-41.86606742,-166.8287233,1.237195122,T,,,,
S,2024/4/29,14:34,11.6234256,82.4278988,-28.41972009,1.266463415,T,,,,
S,2024/4/29,14:44,6.644242115,14.88669541,37.30447749,1.283841463,T,,,,
S,2024/4/29,14:54,15.37204875,14.5437998,-63.47123511,1.261280488,T,,,,
S,2024/4/29,15:03,-8.533611547,-57.08008313,-340.0279923,1.228658537,T,,,,
S,2024/4/29,15:13,-75.1237336,-53.50070043,359.3941128,1.19054878,T,,,,
S,2024/4/29,15:24,-2.117153879,10.82269558,171.822939,1.143902439,T,,,,
S,2024/4/29,15:33,-5.718854531,-9.098110987,-51.53468577,1.093292683,T,,,,
S,2024/4/29,15:42,12.08254963,-22.66110678,-146.3347378,1.06402439,T,,,,
S,2024/4/29,15:51,-1.430362883,-21.85274774,-43.511807,1.003353659,T,,,,
S,2024/4/29,16:01,1.518448145,-0.975092695,-332.8493781,0.93902439,T,,,,
S,2024/4/29,16:11,11.28581032,-159.3041153,774.6225418,0.866158537,T,,,,
S,2024/4/29,16:18,-20.15611255,-37.48742944,-709.7629561,0.79695122,T,,,,
S,2024/4/29,16:27,-15.83522499,-0.557489037,-343.6030011,0.767378049,T,,,,
S,2024/4/29,16:38,-53.79798093,-58.56136453,-511.5709376,0.641158537,T,,,,
S,2024/4/29,16:47,1.808874089,8.50534104,30.81622969,0.604878049,T,,,,
S,2024/5/8,12:05,20.6098573,53.64172494,-92.57077971,1.0149444,T,,,,
S,2024/5/8,12:15,17.67560885,91.55475358,-83.66199384,0.9686844,T,,,,
S,2024/5/8,12:25,22.86576411,19.81405087,-34.53467044,0.915948,T,,,,
S,2024/5/8,12:35,13.60531991,3.549727427,32.66005846,0.8598192,T,,,,
S,2024/5/8,12:45,-57.18401797,-43.23143919,-114.1528765,0.792588,T,,,,
S,2024/5/8,12:55,-68.37541289,-91.10889909,-132.28742,0.7241232,T,,,,
S,2024/5/8,13:05,-33.95669901,-76.63080014,1138.074897,0.656892,T,,,,
S,2024/5/8,13:15,-11.35884728,19.36938417,-676.0855951,0.592128,T,,,,
S,2024/5/8,13:25,16.50091513,-39.03551165,-210.5479103,0.5239716,T,,,,
S,2024/5/8,13:35,80.63417634,-8.660809227,-178.0120864,0.4555068,T,,,,
S,2024/5/8,13:45,-18.54801901,-46.59419577,37.57297058,0.3888924,T,,,,
S,2024/5/8,13:55,-38.2581314,43.35144546,45203.6715,0.3324552,T,,,,
S,2024/5/8,14:05,16.95719351,-29.35793103,-7427.697581,0.2766348,T,,,,
S,2024/5/8,14:15,36.080392,7.108457876,-6127.759058,0.2208144,T,,,,
S,2024/5/8,14:25,82.52079127,62.31760834,-2814.912227,0.1705452,T,,,,
S,2024/5/8,14:35,-68.11845777,-104.8572041,-7277.134388,0.1261356,T,,,,
S,2024/5/8,14:45,60.53175173,-52.5353813,-2158.744004,0.098688,F,,,,
S,2024/5/8,14:55,25.78410471,-54.42777022,-1945.314347,0.0946788,F,,,,
S,2024/5/8,15:23,-27.91716502,-0.70613594,-1018.676054,0.0934452,F,,,,
S,2024/5/8,15:32,46.92001969,26.90404638,139.3246679,0.09252,F,,,,
S,2024/5/8,15:41,-18.98353509,14.70578669,-513.4396976,0.0922116,F,,,,
S,2024/5/8,15:50,-4.034404286,23.49426034,-480.4652845,0.0912864,F,,,,
S,2024/5/8,16:00,-2.217811445,13.068236,-87.42079631,0.087894,F,,,,
