type,replication,depth (cm),cross_section_area (cm2),bulk_density (g/cm3),wet_mass (g),dry_mass (g),water_content(%),soil_ratio(%),TOC(%),TN(%),C content (g m-2)
n,1,2.00,9.62,1.15,22.07,14.11,56.41,63.93,2.88,0.27,422.37
n,2,1.50,9.62,2.21,31.91,21.27,50.02,66.66,1.86,0.12,411.20
n,3,6.50,9.62,1.24,77.7,43.29,79.49,55.71,2.30,0.21,1034.88
n,4,2.50,9.62,2.09,50.23,25.84,94.39,51.44,1.44,0.15,386.75
n,5,7.00,9.62,1.24,83.62,45.31,84.55,54.19,2.14,0.18,1007.82
n,6,3.00,9.62,1.90,54.73,34.29,59.61,62.65,0.97,0.11,345.71
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,C(%),N(%),
RP,1,,,,,,,,2.22,0.13,
RP,2,,,,,,,,2.50,0.13,
RP,3,,,,,,,,2.23,0.11,
AHPI,1,,,,,,,,6.88,9.75,
AHPI,2,,,,,,,,5.09,7.66,
AHPI,3,,,,,,,,4.63,6.41,
AHPII,1,,,,,,,,1.55,6.67,
AHPII,2,,,,,,,,1.07,4.29,
AHPII,3,,,,,,,,1.04,3.17,
Total,1,,,,,,,,10.65 ,16.55 ,
Total,2,,,,,,,,8.65 ,12.09 ,
Total,3,,,,,,,,7.91 ,9.69 ,
